Country,Year,Age,Sex,N_of_people_convicted,Mid_year_population_estimate
SCO,1989,16,Male,3435,36212
SCO,1989,17,Male,3988,38222
SCO,1989,18,Male,4058,40295
SCO,1989,19,Male,3887,40217
SCO,1989,20,Male,3500,42004
SCO,1989,21,Male,3272,42623
SCO,1989,22,Male,2864,43389
SCO,1989,23,Male,2477,41610
SCO,1989,24,Male,2389,43254
SCO,1989,25,Male,2223,42131
SCO,1989,26,Male,1968,41211
SCO,1989,27,Male,1758,41025
SCO,1989,28,Male,1597,40347
SCO,1989,29,Male,1358,39655
SCO,1989,30,Male,1187,38285
SCO,1989,31,Male,1131,36894
SCO,1989,32,Male,966,35909
SCO,1989,33,Male,830,35709
SCO,1989,34,Male,761,33928
SCO,1989,35,Male,735,33819
SCO,1989,36,Male,653,33311
SCO,1989,37,Male,667,31882
SCO,1989,38,Male,589,33224
SCO,1989,39,Male,611,33650
SCO,1989,40,Male,546,34754
SCO,1989,41,Male,545,36330
SCO,1989,42,Male,514,39748
SCO,1989,43,Male,384,30840
SCO,1989,44,Male,388,29623
SCO,1989,45,Male,369,30723
SCO,1989,46,Male,358,30021
SCO,1989,47,Male,336,28219
SCO,1989,48,Male,269,26703
SCO,1989,49,Male,312,27808
SCO,1989,50,Male,251,27956
SCO,1989,51,Male,222,27962
SCO,1989,52,Male,199,27314
SCO,1989,53,Male,173,27111
SCO,1989,54,Male,152,26743
SCO,1989,55,Male,150,26430
SCO,1989,56,Male,112,25983
SCO,1989,57,Male,114,26661
SCO,1989,58,Male,95,26571
SCO,1989,59,Male,87,26047
SCO,1989,60,Male,83,25659
SCO,1989,61,Male,53,24929
SCO,1989,62,Male,51,24797
SCO,1989,63,Male,52,25128
SCO,1989,64,Male,48,24028
SCO,1989,65,Male,34,23550
SCO,1989,66,Male,29,22382
SCO,1989,67,Male,19,23238
SCO,1989,68,Male,19,22330
SCO,1989,69,Male,25,22759
SCO,1989,70,Male,5,15179
SCO,1989,71,Male,7,14201
SCO,1989,72,Male,5,14836
SCO,1989,73,Male,7,14737
SCO,1989,74,Male,8,14969
SCO,1989,75,Male,1,14025
SCO,1989,76,Male,2,13102
SCO,1989,77,Male,3,11824
SCO,1989,78,Male,0,10641
SCO,1989,79,Male,1,9694
SCO,1989,80,Male,2,8540
SCO,1989,81,Male,0,7368
SCO,1989,82,Male,0,6158
SCO,1989,83,Male,0,5204
SCO,1989,84,Male,0,4359
SCO,1989,85,Male,0,3594
SCO,1989,86,Male,0,2888
SCO,1989,87,Male,0,2250
SCO,1989,88,Male,0,1664
SCO,1989,89,Male,0,1186
SCO,1989,90 & over,Male,0,3154
SCO,1990,16,Male,3098,33515
SCO,1990,17,Male,3720,35965
SCO,1990,18,Male,3915,37910
SCO,1990,19,Male,3784,40285
SCO,1990,20,Male,3398,40299
SCO,1990,21,Male,3113,41800
SCO,1990,22,Male,2904,42132
SCO,1990,23,Male,2593,42574
SCO,1990,24,Male,2291,40901
SCO,1990,25,Male,2144,42443
SCO,1990,26,Male,1995,41565
SCO,1990,27,Male,1788,40834
SCO,1990,28,Male,1585,40731
SCO,1990,29,Male,1424,40188
SCO,1990,30,Male,1243,39530
SCO,1990,31,Male,1126,38251
SCO,1990,32,Male,953,36828
SCO,1990,33,Male,850,35747
SCO,1990,34,Male,830,35653
SCO,1990,35,Male,694,33946
SCO,1990,36,Male,674,33815
