Country,Year,Age,Sex,N_of_people_convicted,Mid_year_population_estimate
SCO,1990,37,Male,588,33297
SCO,1990,38,Male,562,31866
SCO,1990,39,Male,563,33202
SCO,1990,40,Male,512,33596
SCO,1990,41,Male,481,34779
SCO,1990,42,Male,487,36338
SCO,1990,43,Male,479,39688
SCO,1990,44,Male,383,30835
SCO,1990,45,Male,360,29527
SCO,1990,46,Male,334,30681
SCO,1990,47,Male,311,29883
SCO,1990,48,Male,265,28083
SCO,1990,49,Male,239,26571
SCO,1990,50,Male,223,27713
SCO,1990,51,Male,242,27840
SCO,1990,52,Male,179,27839
SCO,1990,53,Male,153,27160
SCO,1990,54,Male,163,26960
SCO,1990,55,Male,141,26561
SCO,1990,56,Male,149,26213
SCO,1990,57,Male,129,25697
SCO,1990,58,Male,91,26397
SCO,1990,59,Male,96,26236
SCO,1990,60,Male,56,25651
SCO,1990,61,Male,75,25310
SCO,1990,62,Male,50,24452
SCO,1990,63,Male,42,24288
SCO,1990,64,Male,40,24595
SCO,1990,65,Male,40,23383
SCO,1990,66,Male,27,22863
SCO,1990,67,Male,22,21640
SCO,1990,68,Male,17,22406
SCO,1990,69,Male,24,21454
SCO,1990,70,Male,20,21710
SCO,1990,71,Male,7,14453
SCO,1990,72,Male,8,13434
SCO,1990,73,Male,4,13953
SCO,1990,74,Male,3,13785
SCO,1990,75,Male,4,13899
SCO,1990,76,Male,1,12907
SCO,1990,77,Male,3,11984
SCO,1990,78,Male,0,10711
SCO,1990,79,Male,3,9574
SCO,1990,80,Male,3,8660
SCO,1990,81,Male,2,7541
SCO,1990,82,Male,1,6409
SCO,1990,83,Male,0,5253
SCO,1990,84,Male,0,4425
SCO,1990,85,Male,1,3603
SCO,1990,86,Male,0,2979
SCO,1990,87,Male,0,2263
SCO,1990,88,Male,0,1821
SCO,1990,89,Male,0,1278
SCO,1990,90 & over,Male,0,3271
SCO,1991,16,Male,2990,32486
SCO,1991,17,Male,3442,33200
SCO,1991,18,Male,3765,35570
SCO,1991,19,Male,3629,37894
SCO,1991,20,Male,3312,40461
SCO,1991,21,Male,2963,40199
SCO,1991,22,Male,2719,41367
SCO,1991,23,Male,2544,41563
SCO,1991,24,Male,2264,41959
SCO,1991,25,Male,2008,40329
SCO,1991,26,Male,1913,41802
SCO,1991,27,Male,1732,41163
SCO,1991,28,Male,1563,40471
SCO,1991,29,Male,1412,40331
SCO,1991,30,Male,1230,39901
SCO,1991,31,Male,1133,39365
SCO,1991,32,Male,995,38077
SCO,1991,33,Male,957,36596
SCO,1991,34,Male,879,35652
SCO,1991,35,Male,777,35592
SCO,1991,36,Male,668,33801
SCO,1991,37,Male,620,33778
SCO,1991,38,Male,601,33201
SCO,1991,39,Male,512,31753
SCO,1991,40,Male,489,33156
SCO,1991,41,Male,490,33549
SCO,1991,42,Male,477,34710
SCO,1991,43,Male,474,36291
SCO,1991,44,Male,406,39652
SCO,1991,45,Male,312,30680
SCO,1991,46,Male,289,29464
SCO,1991,47,Male,304,30572
SCO,1991,48,Male,288,29755
SCO,1991,49,Male,267,27949
SCO,1991,50,Male,225,26423
SCO,1991,51,Male,212,27567
SCO,1991,52,Male,188,27694
SCO,1991,53,Male,171,27648
SCO,1991,54,Male,147,26976
SCO,1991,55,Male,147,26787
SCO,1991,56,Male,109,26308
SCO,1991,57,Male,120,25900
SCO,1991,58,Male,86,25450
SCO,1991,59,Male,77,26068
SCO,1991,60,Male,66,25890
SCO,1991,61,Male,59,25270
SCO,1991,62,Male,47,24900
SCO,1991,63,Male,50,23920
SCO,1991,64,Male,48,23761
SCO,1991,65,Male,41,23998
SCO,1991,66,Male,37,22727
SCO,1991,67,Male,21,22094
SCO,1991,68,Male,16,20907
SCO,1991,69,Male,22,21492
SCO,1991,70,Male,16,20567
SCO,1991,71,Male,18,20673
SCO,1991,72,Male,3,13693
SCO,1991,73,Male,7,12701
SCO,1991,74,Male,5,13068
SCO,1991,75,Male,1,12853
SCO,1991,76,Male,4,12944
SCO,1991,77,Male,3,11874
SCO,1991,78,Male,0,11002
SCO,1991,79,Male,0,9724
SCO,1991,80,Male,1,8590
SCO,1991,81,Male,0,7696
SCO,1991,82,Male,1,6601
SCO,1991,83,Male,0,5592
SCO,1991,84,Male,0,4496
SCO,1991,85,Male,0,3776
SCO,1991,86,Male,0,3046
SCO,1991,87,Male,0,2489
SCO,1991,88,Male,0,1853
SCO,1991,89,Male,0,1490
SCO,1991,90 & over,Male,0,3329
SCO,1992,16,Male,2744,31944
SCO,1992,17,Male,3256,32164
SCO,1992,18,Male,3442,32837
SCO,1992,19,Male,3424,36129
SCO,1992,20,Male,3270,38134
SCO,1992,21,Male,2978,40289
SCO,1992,22,Male,2744,39703
SCO,1992,23,Male,2485,40597
SCO,1992,24,Male,2299,40788
SCO,1992,25,Male,2086,41448
SCO,1992,26,Male,1832,39856
SCO,1992,27,Male,1763,41495
SCO,1992,28,Male,1609,40917
SCO,1992,29,Male,1482,40120
SCO,1992,30,Male,1316,40049
SCO,1992,31,Male,1167,39672
SCO,1992,32,Male,1046,39076
SCO,1992,33,Male,955,37902
SCO,1992,34,Male,832,36470
SCO,1992,35,Male,750,35635
SCO,1992,36,Male,684,35516
SCO,1992,37,Male,644,33756
SCO,1992,38,Male,566,33774
SCO,1992,39,Male,539,33204
SCO,1992,40,Male,452,31819
SCO,1992,41,Male,414,33128
SCO,1992,42,Male,454,33543
SCO,1992,43,Male,412,34740
SCO,1992,44,Male,418,36280
SCO,1992,45,Male,424,39522
SCO,1992,46,Male,294,30645
SCO,1992,47,Male,285,29401
SCO,1992,48,Male,273,30440
SCO,1992,49,Male,253,29679
SCO,1992,50,Male,205,27825
SCO,1992,51,Male,198,26350
SCO,1992,52,Male,187,27444
SCO,1992,53,Male,185,27549
SCO,1992,54,Male,139,27517
SCO,1992,55,Male,122,26789
SCO,1992,56,Male,104,26579
SCO,1992,57,Male,99,26064
SCO,1992,58,Male,95,25654
SCO,1992,59,Male,74,25129
SCO,1992,60,Male,57,25721
SCO,1992,61,Male,61,25459
SCO,1992,62,Male,49,24803
SCO,1992,63,Male,50,24383
SCO,1992,64,Male,35,23366
SCO,1992,65,Male,35,23129
SCO,1992,66,Male,26,23302
SCO,1992,67,Male,31,21959
SCO,1992,68,Male,19,21287
SCO,1992,69,Male,15,20044
SCO,1992,70,Male,10,20520
SCO,1992,71,Male,12,19601
SCO,1992,72,Male,14,19606
SCO,1992,73,Male,2,12913
SCO,1992,74,Male,4,11955
SCO,1992,75,Male,5,12099
SCO,1992,76,Male,2,11929
SCO,1992,77,Male,3,11955
SCO,1992,78,Male,1,10870
SCO,1992,79,Male,2,9981
SCO,1992,80,Male,0,8729
SCO,1992,81,Male,0,7667
SCO,1992,82,Male,0,6785
SCO,1992,83,Male,1,5687
SCO,1992,84,Male,1,4801
SCO,1992,85,Male,0,3808
SCO,1992,86,Male,0,3166
SCO,1992,87,Male,0,2518
SCO,1992,88,Male,0,2026
SCO,1992,89,Male,0,1514
SCO,1992,90 & over,Male,0,3704
SCO,1993,16,Male,2248,29604
SCO,1993,17,Male,2840,31600
SCO,1993,18,Male,2991,31772
SCO,1993,19,Male,3044,33546
SCO,1993,20,Male,2883,36328
SCO,1993,21,Male,2738,38106
SCO,1993,22,Male,2510,39963
SCO,1993,23,Male,2329,39220
SCO,1993,24,Male,2187,40034
SCO,1993,25,Male,2120,40357
SCO,1993,26,Male,1825,41145
SCO,1993,27,Male,1618,39641
SCO,1993,28,Male,1543,41283
SCO,1993,29,Male,1424,40678
SCO,1993,30,Male,1328,40002
SCO,1993,31,Male,1186,40024
SCO,1993,32,Male,1078,39590
SCO,1993,33,Male,986,38984
SCO,1993,34,Male,887,37871
SCO,1993,35,Male,792,36509
SCO,1993,36,Male,687,35689
SCO,1993,37,Male,642,35481
SCO,1993,38,Male,576,33791
SCO,1993,39,Male,531,33846
SCO,1993,40,Male,505,33275
SCO,1993,41,Male,455,31867
SCO,1993,42,Male,467,33143
SCO,1993,43,Male,428,33599
SCO,1993,44,Male,365,34743
SCO,1993,45,Male,372,36238
SCO,1993,46,Male,388,39509
SCO,1993,47,Male,269,30630
SCO,1993,48,Male,257,29328
SCO,1993,49,Male,229,30419
SCO,1993,50,Male,203,29593
SCO,1993,51,Male,193,27734
SCO,1993,52,Male,172,26264
SCO,1993,53,Male,178,27334
SCO,1993,54,Male,140,27413
SCO,1993,55,Male,116,27372
SCO,1993,56,Male,98,26609
SCO,1993,57,Male,94,26363
SCO,1993,58,Male,83,25776
SCO,1993,59,Male,77,25348
SCO,1993,60,Male,69,24780
SCO,1993,61,Male,54,25318
SCO,1993,62,Male,53,24998
SCO,1993,63,Male,41,24264
SCO,1993,64,Male,43,23800
SCO,1993,65,Male,32,22777
SCO,1993,66,Male,34,22463
SCO,1993,67,Male,21,22520
SCO,1993,68,Male,20,21152
SCO,1993,69,Male,14,20445
SCO,1993,70,Male,10,19142
SCO,1993,71,Male,7,19559
SCO,1993,72,Male,9,18653
SCO,1993,73,Male,11,18495
SCO,1993,74,Male,4,12096
SCO,1993,75,Male,2,11061
SCO,1993,76,Male,3,11157
SCO,1993,77,Male,3,10969
SCO,1993,78,Male,3,10890
SCO,1993,79,Male,0,9848
SCO,1993,80,Male,3,8984
SCO,1993,81,Male,0,7755
SCO,1993,82,Male,0,6746
SCO,1993,83,Male,0,5934
SCO,1993,84,Male,1,4920
SCO,1993,85,Male,0,4070
SCO,1993,86,Male,0,3186
SCO,1993,87,Male,0,2603
SCO,1993,88,Male,0,2028
SCO,1993,89,Male,0,1608
SCO,1993,90 & over,Male,0,3936
SCO,1994,16,Male,2424,29555
SCO,1994,17,Male,2649,29331
SCO,1994,18,Male,2976,31405
SCO,1994,19,Male,2798,32578
SCO,1994,20,Male,2804,33973
SCO,1994,21,Male,2617,36332
SCO,1994,22,Male,2502,37911
SCO,1994,23,Male,2306,39375
SCO,1994,24,Male,2138,38769
SCO,1994,25,Male,1956,39633
SCO,1994,26,Male,1933,39979
SCO,1994,27,Male,1790,41016
SCO,1994,28,Male,1540,39506
SCO,1994,29,Male,1507,41123
SCO,1994,30,Male,1399,40524
SCO,1994,31,Male,1300,40025
SCO,1994,32,Male,1155,39974
SCO,1994,33,Male,1059,39509
SCO,1994,34,Male,951,38911
SCO,1994,35,Male,835,37883
SCO,1994,36,Male,761,36597
SCO,1994,37,Male,724,35821
SCO,1994,38,Male,652,35498
SCO,1994,39,Male,585,33837
SCO,1994,40,Male,525,33964
SCO,1994,41,Male,483,33284
SCO,1994,42,Male,445,31994
SCO,1994,43,Male,419,33171
SCO,1994,44,Male,420,33685
SCO,1994,45,Male,421,34759
SCO,1994,46,Male,349,36251
SCO,1994,47,Male,336,39452
SCO,1994,48,Male,266,30627
SCO,1994,49,Male,251,29270
SCO,1994,50,Male,242,30352
SCO,1994,51,Male,208,29538
SCO,1994,52,Male,156,27654
SCO,1994,53,Male,159,26134
SCO,1994,54,Male,154,27208
SCO,1994,55,Male,138,27236
SCO,1994,56,Male,124,27155
SCO,1994,57,Male,104,26356
SCO,1994,58,Male,99,26114
SCO,1994,59,Male,68,25498
SCO,1994,60,Male,72,25010
SCO,1994,61,Male,66,24432
SCO,1994,62,Male,52,24861
SCO,1994,63,Male,34,24477
SCO,1994,64,Male,42,23682
SCO,1994,65,Male,30,23204
SCO,1994,66,Male,29,22055
SCO,1994,67,Male,27,21708
SCO,1994,68,Male,15,21682
SCO,1994,69,Male,13,20282
SCO,1994,70,Male,12,19598
SCO,1994,71,Male,9,18247
SCO,1994,72,Male,11,18549
SCO,1994,73,Male,10,17669
SCO,1994,74,Male,13,17391
SCO,1994,75,Male,2,11250
SCO,1994,76,Male,0,10278
SCO,1994,77,Male,1,10300
SCO,1994,78,Male,0,10038
SCO,1994,79,Male,0,9870
SCO,1994,80,Male,1,8836
SCO,1994,81,Male,2,8043
SCO,1994,82,Male,0,6799
SCO,1994,83,Male,1,5863
SCO,1994,84,Male,0,5045
SCO,1994,85,Male,0,4204
SCO,1994,86,Male,0,3420
SCO,1994,87,Male,0,2612
SCO,1994,88,Male,0,2098
SCO,1994,89,Male,0,1613
SCO,1994,90 & over,Male,0,4122
SCO,1995,16,Male,2610,32058
SCO,1995,17,Male,2816,29270
SCO,1995,18,Male,2767,29096
SCO,1995,19,Male,2848,32311
SCO,1995,20,Male,2646,32835
SCO,1995,21,Male,2632,33878
SCO,1995,22,Male,2435,35850
SCO,1995,23,Male,2298,37189
SCO,1995,24,Male,2118,38549
SCO,1995,25,Male,2014,38128
SCO,1995,26,Male,1859,39128
SCO,1995,27,Male,1800,39682
SCO,1995,28,Male,1604,40715
SCO,1995,29,Male,1490,39201
SCO,1995,30,Male,1436,40851
SCO,1995,31,Male,1297,40309
SCO,1995,32,Male,1151,39784
SCO,1995,33,Male,1106,39852
SCO,1995,34,Male,1041,39214
SCO,1995,35,Male,952,38707
SCO,1995,36,Male,807,37790
SCO,1995,37,Male,775,36577
SCO,1995,38,Male,713,35816
SCO,1995,39,Male,610,35455
SCO,1995,40,Male,574,33922
SCO,1995,41,Male,461,33912
SCO,1995,42,Male,445,33248
SCO,1995,43,Male,397,32034
SCO,1995,44,Male,398,33171
SCO,1995,45,Male,367,33606
SCO,1995,46,Male,349,34767
SCO,1995,47,Male,336,36182
SCO,1995,48,Male,319,39354
SCO,1995,49,Male,237,30548
SCO,1995,50,Male,204,29207
SCO,1995,51,Male,226,30257
SCO,1995,52,Male,210,29431
SCO,1995,53,Male,161,27497
SCO,1995,54,Male,164,25969
SCO,1995,55,Male,152,27055
SCO,1995,56,Male,134,26989
SCO,1995,57,Male,111,26900
SCO,1995,58,Male,108,26095
SCO,1995,59,Male,79,25847
SCO,1995,60,Male,63,25221
SCO,1995,61,Male,67,24623
SCO,1995,62,Male,52,24041
SCO,1995,63,Male,46,24368
SCO,1995,64,Male,41,23928
SCO,1995,65,Male,31,23117
SCO,1995,66,Male,35,22612
SCO,1995,67,Male,25,21327
SCO,1995,68,Male,25,20967
SCO,1995,69,Male,13,20932
SCO,1995,70,Male,10,19437
SCO,1995,71,Male,7,18768
SCO,1995,72,Male,11,17343
SCO,1995,73,Male,8,17522
SCO,1995,74,Male,1,16687
SCO,1995,75,Male,5,16355
SCO,1995,76,Male,3,10532
SCO,1995,77,Male,0,9452
SCO,1995,78,Male,0,9464
SCO,1995,79,Male,1,9197
SCO,1995,80,Male,1,8910
SCO,1995,81,Male,1,7957
SCO,1995,82,Male,1,7176
SCO,1995,83,Male,1,5961
SCO,1995,84,Male,1,5106
SCO,1995,85,Male,1,4306
SCO,1995,86,Male,0,3565
SCO,1995,87,Male,1,2880
SCO,1995,88,Male,0,2146
SCO,1995,89,Male,0,1706
SCO,1995,90 & over,Male,1,4424
SCO,1996,16,Male,2631,32901
SCO,1996,17,Male,2999,31740
SCO,1996,18,Male,2824,28930
SCO,1996,19,Male,2659,29860
SCO,1996,20,Male,2515,32449
SCO,1996,21,Male,2388,32627
SCO,1996,22,Male,2212,33257
SCO,1996,23,Male,2116,34890
SCO,1996,24,Male,2061,36237
SCO,1996,25,Male,1873,37792
SCO,1996,26,Male,1811,37415
SCO,1996,27,Male,1688,38638
SCO,1996,28,Male,1600,39185
SCO,1996,29,Male,1454,40246
SCO,1996,30,Male,1339,38835
SCO,1996,31,Male,1272,40512
SCO,1996,32,Male,1215,39971
SCO,1996,33,Male,1121,39624
SCO,1996,34,Male,988,39572
SCO,1996,35,Male,919,39019
SCO,1996,36,Male,838,38427
SCO,1996,37,Male,743,37594
SCO,1996,38,Male,670,36447
SCO,1996,39,Male,653,35652
SCO,1996,40,Male,525,35318
SCO,1996,41,Male,525,33843
SCO,1996,42,Male,481,33818
SCO,1996,43,Male,450,33183
SCO,1996,44,Male,379,32000
SCO,1996,45,Male,377,33056
SCO,1996,46,Male,340,33522
SCO,1996,47,Male,308,34661
SCO,1996,48,Male,324,36049
SCO,1996,49,Male,277,39178
SCO,1996,50,Male,210,30411
SCO,1996,51,Male,152,29104
SCO,1996,52,Male,191,30096
SCO,1996,53,Male,163,29228
SCO,1996,54,Male,128,27352
SCO,1996,55,Male,118,25788
SCO,1996,56,Male,126,26788
SCO,1996,57,Male,92,26691
SCO,1996,58,Male,93,26638
SCO,1996,59,Male,73,25767
SCO,1996,60,Male,67,25518
SCO,1996,61,Male,47,24886
SCO,1996,62,Male,55,24186
SCO,1996,63,Male,57,23553
SCO,1996,64,Male,37,23845
SCO,1996,65,Male,21,23337
SCO,1996,66,Male,24,22465
SCO,1996,67,Male,20,21918
SCO,1996,68,Male,18,20614
SCO,1996,69,Male,16,20118
SCO,1996,70,Male,13,20036
SCO,1996,71,Male,9,18540
SCO,1996,72,Male,8,17821
SCO,1996,73,Male,4,16414
SCO,1996,74,Male,10,16515
SCO,1996,75,Male,1,15684
SCO,1996,76,Male,4,15264
SCO,1996,77,Male,2,9742
SCO,1996,78,Male,0,8674
SCO,1996,79,Male,2,8595
SCO,1996,80,Male,0,8281
SCO,1996,81,Male,0,7978
SCO,1996,82,Male,0,7056
SCO,1996,83,Male,1,6254
SCO,1996,84,Male,0,5172
SCO,1996,85,Male,0,4374
SCO,1996,86,Male,0,3666
SCO,1996,87,Male,0,2947
SCO,1996,88,Male,1,2381
SCO,1996,89,Male,0,1682
SCO,1996,90 & over,Male,1,4625
SCO,1997,16,Male,2458,33644
SCO,1997,17,Male,2803,32577
SCO,1997,18,Male,2812,31400
SCO,1997,19,Male,2516,29713
SCO,1997,20,Male,2284,29963
SCO,1997,21,Male,2244,32152
SCO,1997,22,Male,2154,31926
SCO,1997,23,Male,1956,32166
SCO,1997,24,Male,1914,33917
SCO,1997,25,Male,1819,35387
SCO,1997,26,Male,1734,37073
SCO,1997,27,Male,1641,36751
SCO,1997,28,Male,1556,38170
SCO,1997,29,Male,1531,38749
SCO,1997,30,Male,1449,39853
SCO,1997,31,Male,1315,38508
SCO,1997,32,Male,1212,40227
SCO,1997,33,Male,1144,39687
SCO,1997,34,Male,1013,39435
SCO,1997,35,Male,976,39408
SCO,1997,36,Male,907,38815
SCO,1997,37,Male,803,38177
SCO,1997,38,Male,695,37418
SCO,1997,39,Male,664,36380
SCO,1997,40,Male,575,35605
SCO,1997,41,Male,549,35254
SCO,1997,42,Male,472,33775
SCO,1997,43,Male,369,33768
SCO,1997,44,Male,389,33163
SCO,1997,45,Male,336,31969
SCO,1997,46,Male,343,32941
SCO,1997,47,Male,295,33390
SCO,1997,48,Male,290,34585
SCO,1997,49,Male,253,35909
SCO,1997,50,Male,246,39050
SCO,1997,51,Male,183,30328
SCO,1997,52,Male,167,28954
SCO,1997,53,Male,143,29916
SCO,1997,54,Male,146,29046
SCO,1997,55,Male,121,27174
SCO,1997,56,Male,112,25557
SCO,1997,57,Male,119,26523
SCO,1997,58,Male,104,26416
SCO,1997,59,Male,80,26393
SCO,1997,60,Male,65,25441
SCO,1997,61,Male,60,25198
SCO,1997,62,Male,41,24531
SCO,1997,63,Male,45,23785
SCO,1997,64,Male,44,23038
SCO,1997,65,Male,26,23239
SCO,1997,66,Male,15,22726
SCO,1997,67,Male,25,21827
SCO,1997,68,Male,21,21224
SCO,1997,69,Male,15,19924
SCO,1997,70,Male,11,19298
SCO,1997,71,Male,11,19192
SCO,1997,72,Male,7,17673
SCO,1997,73,Male,5,16844
SCO,1997,74,Male,6,15463
SCO,1997,75,Male,6,15531
SCO,1997,76,Male,2,14636
SCO,1997,77,Male,2,14167
SCO,1997,78,Male,1,9032
SCO,1997,79,Male,1,7869
SCO,1997,80,Male,0,7800
SCO,1997,81,Male,0,7403
SCO,1997,82,Male,1,7075
SCO,1997,83,Male,0,6193
SCO,1997,84,Male,0,5437
SCO,1997,85,Male,2,4424
SCO,1997,86,Male,0,3681
SCO,1997,87,Male,0,3081
SCO,1997,88,Male,0,2455
SCO,1997,89,Male,0,1902
SCO,1997,90 & over,Male,6,4837
SCO,1998,16,Male,2263,31753
SCO,1998,17,Male,2690,33307
SCO,1998,18,Male,2642,32304
SCO,1998,19,Male,2468,32327
SCO,1998,20,Male,2155,29928
SCO,1998,21,Male,1974,29677
SCO,1998,22,Male,1844,31531
SCO,1998,23,Male,1792,31012
SCO,1998,24,Male,1733,31233
SCO,1998,25,Male,1593,33097
SCO,1998,26,Male,1532,34547
SCO,1998,27,Male,1497,36491
SCO,1998,28,Male,1481,36264
SCO,1998,29,Male,1325,37687
SCO,1998,30,Male,1327,38327
SCO,1998,31,Male,1221,39562
SCO,1998,32,Male,1109,38273
SCO,1998,33,Male,1039,39971
SCO,1998,34,Male,1016,39421
SCO,1998,35,Male,958,39307
SCO,1998,36,Male,825,39317
SCO,1998,37,Male,760,38580
SCO,1998,38,Male,689,37937
SCO,1998,39,Male,581,37300
SCO,1998,40,Male,592,36375
SCO,1998,41,Male,510,35613
SCO,1998,42,Male,419,35199
SCO,1998,43,Male,387,33708
SCO,1998,44,Male,356,33708
SCO,1998,45,Male,312,33095
SCO,1998,46,Male,299,31953
SCO,1998,47,Male,280,32872
SCO,1998,48,Male,261,33371
SCO,1998,49,Male,241,34519
SCO,1998,50,Male,206,35806
SCO,1998,51,Male,206,38899
SCO,1998,52,Male,149,30220
SCO,1998,53,Male,121,28836
SCO,1998,54,Male,114,29786
SCO,1998,55,Male,110,28919
SCO,1998,56,Male,111,26921
SCO,1998,57,Male,98,25370
SCO,1998,58,Male,89,26321
SCO,1998,59,Male,62,26174
SCO,1998,60,Male,56,26161
SCO,1998,61,Male,47,25105
SCO,1998,62,Male,36,24868
SCO,1998,63,Male,44,24111
SCO,1998,64,Male,50,23363
SCO,1998,65,Male,33,22595
SCO,1998,66,Male,26,22686
SCO,1998,67,Male,19,22133
SCO,1998,68,Male,21,21190
SCO,1998,69,Male,21,20510
SCO,1998,70,Male,8,19187
SCO,1998,71,Male,13,18517
SCO,1998,72,Male,5,18298
SCO,1998,73,Male,5,16839
SCO,1998,74,Male,8,15936
SCO,1998,75,Male,3,14511
SCO,1998,76,Male,2,14495
SCO,1998,77,Male,1,13590
SCO,1998,78,Male,1,13096
SCO,1998,79,Male,2,8311
SCO,1998,80,Male,0,7179
SCO,1998,81,Male,1,7004
SCO,1998,82,Male,1,6584
SCO,1998,83,Male,0,6261
SCO,1998,84,Male,0,5458
SCO,1998,85,Male,1,4703
SCO,1998,86,Male,1,3815
SCO,1998,87,Male,1,3102
SCO,1998,88,Male,0,2549
SCO,1998,89,Male,0,1997
SCO,1998,90 & over,Male,7,5201
SCO,1999,16,Male,2172,31223
SCO,1999,17,Male,2414,31359
SCO,1999,18,Male,2582,33084
SCO,1999,19,Male,2376,33340
SCO,1999,20,Male,2188,32620
SCO,1999,21,Male,1882,29861
SCO,1999,22,Male,1667,29219
SCO,1999,23,Male,1609,30713
SCO,1999,24,Male,1514,30113
SCO,1999,25,Male,1498,30516
SCO,1999,26,Male,1398,32434
SCO,1999,27,Male,1360,34058
SCO,1999,28,Male,1356,36085
SCO,1999,29,Male,1274,35866
SCO,1999,30,Male,1235,37366
SCO,1999,31,Male,1182,38068
SCO,1999,32,Male,1138,39363
SCO,1999,33,Male,983,38090
SCO,1999,34,Male,956,39774
SCO,1999,35,Male,890,39369
SCO,1999,36,Male,837,39222
SCO,1999,37,Male,741,39253
SCO,1999,38,Male,623,38471
SCO,1999,39,Male,628,37785
SCO,1999,40,Male,537,37209
SCO,1999,41,Male,527,36386
SCO,1999,42,Male,429,35579
SCO,1999,43,Male,381,35177
SCO,1999,44,Male,341,33728
SCO,1999,45,Male,310,33633
SCO,1999,46,Male,251,33032
SCO,1999,47,Male,249,31972
SCO,1999,48,Male,226,32814
SCO,1999,49,Male,213,33341
SCO,1999,50,Male,220,34452
SCO,1999,51,Male,199,35629
SCO,1999,52,Male,181,38724
SCO,1999,53,Male,119,30051
SCO,1999,54,Male,111,28706
SCO,1999,55,Male,101,29679
SCO,1999,56,Male,89,28655
SCO,1999,57,Male,77,26702
SCO,1999,58,Male,72,25148
SCO,1999,59,Male,68,26095
SCO,1999,60,Male,78,25911
SCO,1999,61,Male,46,25851
SCO,1999,62,Male,32,24731
SCO,1999,63,Male,36,24473
SCO,1999,64,Male,39,23724
SCO,1999,65,Male,24,22881
SCO,1999,66,Male,36,22048
SCO,1999,67,Male,19,22059
SCO,1999,68,Male,19,21432
SCO,1999,69,Male,13,20522
SCO,1999,70,Male,14,19765
SCO,1999,71,Male,6,18391
